Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
59DCMI.GOV,City,Non-Federal Agency,59th District Court,Walker,MI,soc@walker.city
ABERDEENMD.GOV,City,Non-Federal Agency,City of Aberdeen,Aberdeen,MD,(blank)
ABERDEENWA.GOV,City,Non-Federal Agency,City of Aberdeen,Aberdeen,WA,rlampky@aberdeenwa.gov
ABILENETX.GOV,City,Non-Federal Agency,City of Abilene,Abilene,TX,bobvw@abilenetx.gov
ABINGDON-VA.GOV,City,Non-Federal Agency,Town of Abingdon,Abingdon,VA,itdept@abingdon-va.gov
ABINGTONMA.GOV,City,Non-Federal Agency,Town of Abington,Abington,MA,wnorling@abingtonma.gov
ABINGTONPA.GOV,City,Non-Federal Agency,Abington Township,Abington,PA,(blank)
ABITASPRINGSLA.GOV,City,Non-Federal Agency,Town Of Abita Springs,Abita Springs,LA,support@townofabitasprings.com
ABSECONNJ.GOV,City,Non-Federal Agency,City of Absecon,Absecon,NJ,(blank)
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,Princeton,NJ,pdepasquale@princetonnj.gov
ACNJ.GOV,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org
ACNJPOLICE.GOV,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org
ACTON-MA.GOV,City,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,mhald@actonma.gov
ACTONMA.GOV,City,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,mhald@actonma.gov
ADAK-AK.GOV,City,Non-Federal Agency,City of Adak,Adak,AK,(blank)
ADAMN.GOV,City,Non-Federal Agency,City Of Ada,Ada,MN,(blank)
ADDISONTX.GOV,City,Non-Federal Agency,Town Of Addison,Addison,TX,(blank)
ADDISONWI.GOV,City,Non-Federal Agency,Town of Addison,Allenton,WI,clerk@addisonwi.org
ADELANTOCA.GOV,City,Non-Federal Agency,City of Adelanto,Adelanto,CA,(blank)
ADRIANMI.GOV,City,Non-Federal Agency,City of Adrian,Adrian,MI,(blank)
AFTONWYOMING.GOV,City,Non-Federal Agency,TOWN OF AFTON,AFTON,WY,vsanderson@aftonwyoming.gov
AHOSKIENC.GOV,City,Non-Federal Agency,Town of Ahoskie,Ahoskie,NC,ebarnes@cocentral.com
AKRONOHIO.GOV,City,Non-Federal Agency,"City of Akron, Ohio",Akron,OH,(blank)
AKRONOHIORESCUE.GOV,City,Non-Federal Agency,"City of Akron, Ohio",Akron,OH,infrastructure@akronohio.gov
